id,date,note,texte
1,2026-03-02,5,"Le meilleur burger du quartier, viande juteuse et pain maison. L'équipe est adorable en plus !"
2,2026-03-03,2,"Bon goût mais 25 minutes d'attente le midi, c'est beaucoup trop quand on bosse."
3,2026-03-04,4,"Très bons produits, frais et locaux. Un poil cher mais ça vaut le coup de temps en temps."
4,2026-03-05,1,"Commande froide à l'arrivée et serveur pas aimable. Déçu pour une première fois."
5,2026-03-06,5,"Frites incroyables, sauces maison au top. Je reviens chaque vendredi !"
6,2026-03-07,3,"Correct sans plus. Le tarif a augmenté et les portions ont rétréci."
7,2026-03-08,4,"Accueil chaleureux, on se sent comme à la maison. Le wrap végé était délicieux."
8,2026-03-09,2,"File d'attente énorme et un seul gars en cuisine. Bon mais mal organisé."
9,2026-03-10,5,"Rapport qualité-prix imbattable le midi avec la formule. Bravo l'équipe."
10,2026-03-11,1,"J'ai trouvé un cheveu dans ma boîte. Hygiène à revoir sérieusement."
11,2026-03-12,4,"Camion toujours propre et bien tenu, produits de qualité. Petit bémol sur l'attente."
12,2026-03-13,5,"Patron super sympa qui prend le temps d'expliquer ses produits. Un régal."
13,2026-03-14,3,"Le burger est bon mais les frites étaient molles ce jour-là. Dommage."
14,2026-03-15,2,"Trop cher pour ce que c'est. 14 euros le menu, je trouve ça abusé."
15,2026-03-16,5,"Coup de coeur ! Cuisine généreuse et goûteuse, service ultra rapide ce midi."
16,2026-03-17,4,"Très bonne adresse, ingrédients frais. L'attente reste le seul vrai point faible."
17,2026-03-18,1,"On m'a oublié dans la file et servi quelqu'un arrivé après moi. Pas pro."
18,2026-03-19,3,"Sympa mais rien d'extraordinaire. Le pain était un peu sec."
19,2026-03-20,5,"Accueil au top, sourire garanti et plats délicieux. Mon QG du midi."
20,2026-03-21,4,"Produits locaux et de saison, on sent le travail. Prix justifié à mon avis."
21,2026-03-22,2,"20 min d'attente annoncées, 40 en vrai. Bon produit mais service lent."
22,2026-03-23,5,"Les desserts maison sont une tuerie, surtout le cookie. Service adorable."
23,2026-03-24,3,"Moyen ce midi, plat tiède. D'habitude c'est mieux, journée sans peut-être."
24,2026-03-25,4,"Camion impeccable et propre, équipe efficace. Je recommande la formule du jour."
25,2026-03-26,1,"Très déçu : commande erronée et aucune excuse. Je ne reviendrai pas."
26,2026-03-27,5,"Qualité constante depuis des mois, c'est devenu une institution ici. Merci !"
27,2026-03-28,2,"Bon mais beaucoup trop salé à mon goût, et l'attente interminable."
28,2026-03-29,4,"Très bon accueil et produits frais. Juste un peu cher pour un food truck."
29,2026-03-30,5,"Service rapide même en plein rush, et toujours avec le sourire. Parfait."
30,2026-03-31,3,"Correct. Le menu manque un peu de choix végétarien à mon avis."
31,2026-04-01,4,"Excellente viande, cuisson parfaite. L'équipe gère bien malgré la foule."
32,2026-04-02,1,"Pas d'hygiène apparente, plan de travail sale visible. Ça coupe l'appétit."
33,2026-04-03,5,"Tout simplement le meilleur du coin. Frais, généreux, équipe en or."
34,2026-04-04,3,"Bon dans l'ensemble mais le prix grimpe vite avec les extras."
35,2026-04-05,4,"Accueil sympa, plats savoureux, juste l'attente du midi à optimiser."
